,d1,d2,d3,d4,d5,ruangan
110,-38.0,-55.0,-54.0,-70.0,-55.0,301
111,-36.0,-52.0,-54.0,-70.0,-57.0,301
112,-42.0,-57.0,-52.0,-70.0,-53.0,301
113,-38.0,-53.0,-55.0,-70.0,-65.0,301
114,-40.0,-57.0,-58.0,-71.0,-70.0,301
115,-31.0,-56.0,-54.0,-69.0,-65.0,301
116,-35.0,-57.0,-57.0,-69.0,-68.0,301
117,-37.0,-57.0,-59.0,-73.0,-68.0,301
118,-39.0,-57.0,-63.0,-64.0,-67.0,301
119,-42.0,-57.0,-60.0,-72.0,-62.0,301
120,-41.0,-57.0,-60.0,-70.0,-61.0,301
121,-34.0,-54.0,-63.0,-71.0,-62.0,301
122,-36.0,-59.0,-56.0,-75.0,-69.0,301
123,-36.0,-52.0,-57.0,-73.0,-67.0,301
124,-34.0,-54.0,-49.0,-70.0,-67.0,301
125,-36.0,-52.0,-51.0,-66.0,-67.0,301
126,-39.0,-48.0,-53.0,-66.0,-68.0,301
127,-34.0,-49.0,-56.0,-62.0,-66.0,301
128,-27.0,-55.0,-55.0,-66.0,-66.0,301
129,-28.0,-57.0,-55.0,-67.0,-64.0,301
130,-32.0,-55.0,-49.0,-65.0,-59.0,301
131,-37.0,-51.0,-58.0,-64.0,-54.0,301
132,-32.0,-52.0,-48.0,-67.0,-60.0,301
133,-34.0,-57.0,-48.0,-64.0,-56.0,301
134,-32.0,-57.0,-53.0,-66.0,-58.0,301
135,-36.0,-55.0,-49.0,-62.0,-60.0,301
136,-40.0,-58.0,-51.0,-62.0,-58.0,301
137,-35.0,-59.0,-57.0,-63.0,-64.0,301
138,-41.0,-68.0,-57.0,-75.0,-59.0,301
139,-45.0,-60.0,-67.0,-69.0,-58.0,301
140,-35.0,-64.0,-62.0,-73.0,-61.0,301
141,-31.0,-60.0,-61.0,-72.0,-60.0,301
142,-34.0,-55.0,-58.0,-75.0,-68.0,301
143,-27.0,-62.0,-58.0,-75.0,-64.0,301
144,-28.0,-63.0,-60.0,-72.0,-66.0,301
145,-26.0,-58.0,-55.0,-72.0,-65.0,301
146,-27.0,-64.0,-59.0,-75.0,-66.0,301
147,-37.0,-59.0,-56.0,-72.0,-67.0,301
148,-35.0,-59.0,-54.0,-72.0,-70.0,301
149,-36.0,-54.0,-55.0,-70.0,-62.0,301
150,-33.0,-57.0,-54.0,-76.0,-68.0,301
151,-32.0,-54.0,-51.0,-72.0,-70.0,301
152,-36.0,-60.0,-59.0,-75.0,-65.0,301
153,-35.0,-59.0,-62.0,-70.0,-61.0,301
154,-37.0,-58.0,-61.0,-74.0,-63.0,301
155,-36.0,-58.0,-63.0,-73.0,-66.0,301
156,-40.0,-61.0,-57.0,-74.0,-70.0,301
157,-36.0,-67.0,-56.0,-72.0,-65.0,301
158,-35.0,-59.0,-53.0,-70.0,-69.0,301
159,-39.0,-61.0,-56.0,-73.0,-58.0,301
160,-50.0,-52.0,-44.0,-67.0,-46.0,302
161,-47.0,-51.0,-49.0,-73.0,-54.0,302
162,-49.0,-52.0,-47.0,-72.0,-57.0,302
163,-50.0,-51.0,-44.0,-74.0,-51.0,302
164,-55.0,-48.0,-46.0,-70.0,-55.0,302
165,-53.0,-49.0,-52.0,-62.0,-51.0,302
166,-51.0,-49.0,-51.0,-63.0,-50.0,302
167,-45.0,-46.0,-47.0,-64.0,-57.0,302
168,-53.0,-48.0,-51.0,-67.0,-60.0,302
169,-55.0,-48.0,-49.0,-63.0,-51.0,302
170,-47.0,-51.0,-47.0,-68.0,-48.0,302
171,-45.0,-55.0,-40.0,-71.0,-58.0,302
172,-50.0,-50.0,-46.0,-63.0,-52.0,302
173,-45.0,-47.0,-44.0,-63.0,-56.0,302
174,-43.0,-58.0,-47.0,-67.0,-58.0,302
175,-48.0,-55.0,-48.0,-70.0,-59.0,302
176,-48.0,-51.0,-46.0,-72.0,-60.0,302
177,-45.0,-51.0,-48.0,-69.0,-64.0,302
178,-46.0,-53.0,-48.0,-72.0,-60.0,302
179,-50.0,-50.0,-45.0,-69.0,-55.0,302
180,-48.0,-52.0,-49.0,-72.0,-57.0,302
181,-43.0,-53.0,-52.0,-69.0,-56.0,302
182,-45.0,-56.0,-46.0,-70.0,-62.0,302
183,-43.0,-56.0,-51.0,-76.0,-64.0,302
184,-51.0,-51.0,-50.0,-72.0,-56.0,302
185,-48.0,-51.0,-47.0,-77.0,-57.0,302
186,-41.0,-48.0,-56.0,-71.0,-59.0,302
187,-45.0,-50.0,-54.0,-67.0,-66.0,302
188,-41.0,-47.0,-49.0,-72.0,-63.0,302
189,-42.0,-50.0,-53.0,-69.0,-59.0,302
190,-46.0,-46.0,-47.0,-66.0,-63.0,302
191,-50.0,-51.0,-46.0,-65.0,-54.0,302
192,-49.0,-50.0,-40.0,-61.0,-57.0,302
193,-46.0,-52.0,-46.0,-65.0,-62.0,302
194,-44.0,-46.0,-47.0,-68.0,-59.0,302
195,-48.0,-49.0,-44.0,-59.0,-53.0,302
196,-51.0,-57.0,-42.0,-56.0,-56.0,302
197,-51.0,-51.0,-43.0,-63.0,-53.0,302
198,-50.0,-49.0,-47.0,-61.0,-55.0,302
199,-42.0,-48.0,-48.0,-70.0,-56.0,302
200,-39.0,-42.0,-45.0,-80.0,-60.0,302
201,-49.0,-43.0,-44.0,-72.0,-54.0,302
202,-52.0,-42.0,-49.0,-75.0,-53.0,302
203,-42.0,-46.0,-53.0,-72.0,-58.0,302
204,-39.0,-47.0,-53.0,-67.0,-63.0,302
205,-44.0,-48.0,-53.0,-67.0,-57.0,302
206,-42.0,-45.0,-51.0,-66.0,-57.0,302
207,-46.0,-43.0,-45.0,-67.0,-56.0,302
208,-47.0,-46.0,-37.0,-62.0,-65.0,302
209,-47.0,-53.0,-40.0,-60.0,-52.0,302
210,-48.0,-58.0,-44.0,-57.0,-52.0,302
211,-46.0,-54.0,-42.0,-57.0,-52.0,302
212,-49.0,-51.0,-44.0,-64.0,-54.0,302
213,-46.0,-51.0,-46.0,-70.0,-50.0,302
214,-48.0,-51.0,-41.0,-67.0,-52.0,302
215,-49.0,-52.0,-41.0,-68.0,-52.0,302
216,-49.0,-46.0,-45.0,-64.0,-53.0,302
217,-54.0,-41.0,-47.0,-72.0,-61.0,302
218,-52.0,-44.0,-49.0,-69.0,-61.0,302
219,-52.0,-42.0,-48.0,-72.0,-59.0,302
220,-55.0,-42.0,-48.0,-73.0,-62.0,302
221,-50.0,-46.0,-47.0,-72.0,-64.0,302
222,-58.0,-45.0,-51.0,-70.0,-61.0,302
223,-51.0,-41.0,-56.0,-70.0,-59.0,302
224,-54.0,-42.0,-50.0,-67.0,-61.0,302
225,-47.0,-45.0,-50.0,-66.0,-66.0,302
226,-48.0,-41.0,-51.0,-69.0,-66.0,302
227,-43.0,-42.0,-51.0,-66.0,-58.0,302
228,-45.0,-43.0,-50.0,-67.0,-60.0,302
229,-44.0,-48.0,-51.0,-73.0,-66.0,302
230,-40.0,-40.0,-50.0,-65.0,-66.0,302
231,-40.0,-45.0,-51.0,-64.0,-62.0,302
232,-35.0,-54.0,-52.0,-70.0,-64.0,302
233,-42.0,-50.0,-45.0,-61.0,-62.0,302
234,-49.0,-43.0,-52.0,-66.0,-63.0,302
235,-41.0,-47.0,-51.0,-66.0,-61.0,302
236,-43.0,-42.0,-50.0,-70.0,-64.0,302
237,-43.0,-48.0,-50.0,-67.0,-64.0,302
238,-42.0,-44.0,-47.0,-71.0,-62.0,302
239,-45.0,-49.0,-42.0,-65.0,-61.0,302
240,-48.0,-48.0,-44.0,-71.0,-62.0,302
241,-50.0,-55.0,-50.0,-71.0,-60.0,302
242,-48.0,-52.0,-47.0,-71.0,-64.0,302
243,-50.0,-42.0,-48.0,-67.0,-66.0,302
244,-40.0,-49.0,-53.0,-70.0,-69.0,302
245,-43.0,-46.0,-51.0,-67.0,-60.0,302
246,-50.0,-40.0,-55.0,-65.0,-62.0,302
247,-43.0,-47.0,-57.0,-69.0,-58.0,302
248,-40.0,-53.0,-52.0,-66.0,-68.0,302
249,-44.0,-54.0,-48.0,-64.0,-53.0,302
250,-48.0,-50.0,-46.0,-66.0,-56.0,302
251,-46.0,-49.0,-47.0,-63.0,-63.0,302
252,-45.0,-46.0,-45.0,-59.0,-60.0,302
253,-47.0,-42.0,-44.0,-66.0,-65.0,302
254,-45.0,-45.0,-45.0,-66.0,-62.0,302
255,-48.0,-40.0,-47.0,-64.0,-63.0,302
256,-52.0,-48.0,-54.0,-68.0,-61.0,302
257,-47.0,-47.0,-48.0,-62.0,-59.0,302
258,-49.0,-51.0,-44.0,-64.0,-60.0,302
259,-50.0,-51.0,-46.0,-70.0,-61.0,302
260,-51.0,-47.0,-43.0,-72.0,-60.0,302
261,-51.0,-48.0,-47.0,-73.0,-62.0,302
262,-50.0,-45.0,-43.0,-74.0,-62.0,302
263,-50.0,-42.0,-49.0,-69.0,-62.0,302
264,-45.0,-49.0,-53.0,-70.0,-63.0,302
265,-44.0,-51.0,-47.0,-72.0,-68.0,302
266,-44.0,-45.0,-51.0,-67.0,-72.0,302
267,-42.0,-45.0,-57.0,-69.0,-68.0,302
268,-43.0,-50.0,-50.0,-66.0,-66.0,302
269,-41.0,-52.0,-48.0,-68.0,-58.0,302
270,-43.0,-51.0,-53.0,-69.0,-65.0,302
271,-51.0,-45.0,-48.0,-68.0,-54.0,302
272,-45.0,-47.0,-48.0,-64.0,-61.0,302
273,-50.0,-51.0,-49.0,-67.0,-58.0,302
274,-49.0,-46.0,-50.0,-63.0,-63.0,302
275,-46.0,-46.0,-44.0,-64.0,-59.0,302
276,-52.0,-44.0,-37.0,-57.0,-60.0,302
277,-50.0,-45.0,-39.0,-64.0,-48.0,302
278,-45.0,-49.0,-40.0,-64.0,-56.0,302
279,-43.0,-53.0,-42.0,-69.0,-55.0,302
280,-46.0,-50.0,-43.0,-67.0,-54.0,302
281,-46.0,-52.0,-38.0,-75.0,-49.0,302
282,-47.0,-54.0,-41.0,-71.0,-56.0,302
283,-52.0,-51.0,-41.0,-68.0,-51.0,302
284,-45.0,-49.0,-54.0,-67.0,-57.0,302
285,-48.0,-48.0,-56.0,-71.0,-58.0,302
286,-36.0,-47.0,-52.0,-64.0,-59.0,302
287,-45.0,-44.0,-54.0,-72.0,-64.0,302
288,-38.0,-45.0,-51.0,-68.0,-67.0,302
289,-45.0,-44.0,-52.0,-66.0,-62.0,302
290,-45.0,-43.0,-45.0,-72.0,-60.0,302
291,-46.0,-43.0,-50.0,-70.0,-62.0,302
292,-44.0,-41.0,-49.0,-65.0,-60.0,302
293,-40.0,-43.0,-50.0,-66.0,-63.0,302
294,-42.0,-46.0,-52.0,-70.0,-59.0,302
295,-45.0,-48.0,-58.0,-67.0,-60.0,302
296,-38.0,-45.0,-51.0,-67.0,-63.0,302
297,-44.0,-43.0,-49.0,-67.0,-62.0,302
298,-47.0,-52.0,-41.0,-64.0,-52.0,302
299,-47.0,-55.0,-44.0,-64.0,-54.0,302
300,-47.0,-51.0,-44.0,-58.0,-57.0,302
301,-51.0,-47.0,-45.0,-60.0,-63.0,302
302,-51.0,-50.0,-49.0,-62.0,-58.0,302
303,-49.0,-49.0,-38.0,-71.0,-46.0,302
304,-47.0,-50.0,-38.0,-68.0,-48.0,302
305,-47.0,-54.0,-39.0,-67.0,-48.0,302
306,-54.0,-52.0,-38.0,-69.0,-51.0,302
307,-54.0,-53.0,-41.0,-62.0,-50.0,302
308,-53.0,-55.0,-49.0,-67.0,-53.0,302
309,-55.0,-54.0,-45.0,-69.0,-56.0,302
310,-47.0,-54.0,-45.0,-67.0,-49.0,302
311,-44.0,-53.0,-50.0,-68.0,-72.0,302
312,-46.0,-49.0,-50.0,-69.0,-64.0,302
313,-46.0,-46.0,-50.0,-69.0,-64.0,302
314,-47.0,-43.0,-47.0,-67.0,-64.0,302
315,-47.0,-46.0,-48.0,-71.0,-65.0,302
316,-46.0,-43.0,-49.0,-68.0,-61.0,302
317,-46.0,-45.0,-50.0,-70.0,-67.0,302
318,-46.0,-45.0,-52.0,-66.0,-65.0,302
319,-48.0,-57.0,-55.0,-69.0,-64.0,302
320,-57.0,-56.0,-37.0,-60.0,-48.0,303
321,-59.0,-65.0,-38.0,-67.0,-59.0,303
322,-49.0,-59.0,-36.0,-63.0,-49.0,303
323,-57.0,-57.0,-41.0,-64.0,-48.0,303
324,-56.0,-58.0,-35.0,-63.0,-55.0,303
325,-58.0,-56.0,-36.0,-60.0,-47.0,303
326,-60.0,-65.0,-33.0,-61.0,-48.0,303
327,-55.0,-63.0,-33.0,-57.0,-46.0,303
328,-54.0,-62.0,-35.0,-57.0,-48.0,303
329,-60.0,-61.0,-36.0,-63.0,-54.0,303
330,-52.0,-59.0,-38.0,-66.0,-47.0,303
331,-54.0,-59.0,-39.0,-67.0,-42.0,303
332,-60.0,-58.0,-37.0,-69.0,-49.0,303
333,-58.0,-58.0,-37.0,-68.0,-51.0,303
334,-56.0,-69.0,-48.0,-59.0,-52.0,303
335,-53.0,-65.0,-45.0,-65.0,-47.0,303
336,-48.0,-62.0,-33.0,-62.0,-57.0,303
337,-51.0,-58.0,-35.0,-61.0,-52.0,303
338,-49.0,-58.0,-32.0,-60.0,-52.0,303
339,-50.0,-56.0,-34.0,-60.0,-50.0,303
340,-47.0,-50.0,-33.0,-65.0,-53.0,303
341,-47.0,-52.0,-39.0,-61.0,-51.0,303
342,-50.0,-63.0,-36.0,-68.0,-56.0,303
343,-58.0,-58.0,-35.0,-65.0,-51.0,303
344,-51.0,-65.0,-32.0,-65.0,-51.0,303
345,-61.0,-61.0,-34.0,-69.0,-49.0,303
346,-49.0,-55.0,-38.0,-64.0,-52.0,303
347,-90,-57.0,-90,-90,-90,303
348,-51.0,-57.0,-39.0,-62.0,-54.0,303
349,-50.0,-56.0,-37.0,-58.0,-53.0,303
350,-56.0,-60.0,-37.0,-58.0,-44.0,303
351,-59.0,-54.0,-37.0,-59.0,-50.0,303
352,-54.0,-63.0,-36.0,-60.0,-48.0,303
353,-53.0,-57.0,-31.0,-68.0,-46.0,303
354,-50.0,-58.0,-34.0,-60.0,-54.0,303
355,-47.0,-53.0,-30.0,-62.0,-50.0,303
356,-46.0,-55.0,-38.0,-70.0,-52.0,303
357,-53.0,-58.0,-38.0,-69.0,-54.0,303
358,-59.0,-54.0,-33.0,-56.0,-61.0,303
359,-54.0,-56.0,-31.0,-58.0,-55.0,303
360,-60.0,-61.0,-34.0,-60.0,-51.0,303
361,-54.0,-60.0,-37.0,-52.0,-45.0,303
362,-55.0,-58.0,-33.0,-56.0,-52.0,303
363,-60.0,-57.0,-30.0,-64.0,-47.0,303
364,-58.0,-60.0,-34.0,-61.0,-44.0,303
365,-60.0,-58.0,-38.0,-63.0,-45.0,303
366,-57.0,-49.0,-39.0,-62.0,-54.0,303
367,-54.0,-47.0,-36.0,-59.0,-50.0,303
368,-56.0,-48.0,-31.0,-58.0,-51.0,303
369,-59.0,-51.0,-31.0,-61.0,-49.0,303
370,-48.0,-54.0,-31.0,-67.0,-58.0,303
371,-53.0,-50.0,-33.0,-68.0,-58.0,303
